name,age,is_alive,score
LoJnpQv,81,True,43.97
TurCEdu,50,False,19.23
NMTXDcl,96,True,86.35
,37,True,65.79
haTfWNu,16,True,44.45
GaSilpW,71,False,93.93
kYmUYnn,81,True,95.67
PNXWtIN,25,,72.98
VgeHRoc,61,True,19.96
uKWWYMR,60,True,45.2
MXFPVus,89,False,47.59
wabJehL,69,False,
pvyAaLI,,False,1.54
oQUPOjo,45,True,35.96
AtSEseH,41,True,50.94
dPSBphr,62,True,
snmQlxX,33,True,32.06
JaFpqNd,30,False,97.75
,37,True,72.67
HNrovTB,99,True,22.28
BHVqTAd,61,False,94.76
OeIIWiq,1,False,93.92
bgAhOWC,57,False,31.52
dECyAkK,35,True,69.05
PzINohS,,False,62.22
gWjTtUN,83,True,40.86
bqwHzrg,48,True,78.82
VpSNhti,14,False,2.59
kFerjGF,56,True,46.51
WWAnFZv,70,False,89.17
xYBMaDF,97,False,67.26
VHzQyXA,32,True,61.87
DKDlpWB,67,True,23.29
UlaBneI,31,True,62.65
aIKDggG,25,,83.37
WXWaTtG,98,,3.68
HHzBZVs,38,True,85.99
wAeOQrJ,89,True,55.84
zNZJzkQ,16,True,28.34
vcuurtW,100,False,87.34
migkICo,81,False,71.57
FgiaTYz,72,True,54.12
MIFRPMT,99,True,90.32
Lqakvbd,54,True,30.03
OuYzISU,6,True,44.53
yFXpcGs,99,True,42.54
NCbzvqW,56,False,3.25
PkwlGOx,99,True,60.71
TqBvnYZ,84,False,83.52
QpYtFnl,,False,
PMVfbNY,95,True,82.68
qjfwAkV,27,True,60.07
MdhCpgh,88,True,52.18
GxdNzaI,50,True,89.84
OBrDjrj,85,False,94.21
loPRQID,60,False,
hQxpSAu,68,False,98.28
VFMLlVf,58,True,32.29
RKYCRiv,18,False,86.35
LKosfDd,13,True,9.77
TyDQxLB,79,False,81.93
SxREsBP,58,True,19.7
UOfGxAK,37,True,58.08
,3,True,12.73
RKKjwBX,93,False,37.65
JmwtFaW,63,True,56.3
nYpbaPp,80,False,4.91
xEMlVAq,33,True,62.11
NdxkHQk,57,False,67.23
IvPsJLq,73,,45.91
TRHJrtL,99,True,88.93
xzYqHQD,1,True,69.68
lzeeQUD,42,,18.53
LtiPGAN,91,False,80.09
trjYuIm,31,False,81.23
ZnPoYUZ,55,False,93.28
WSgTGxv,51,True,45.22
CdniWSq,,False,68.64
qnYYEmb,68,False,61.3
HWyxywv,40,False,67.09
ERFLIHB,55,True,12.93
HNNlSam,54,True,45.03
TDPOvqc,,True,21.59
JEWIKjx,46,True,8.78
pwuouNK,51,False,98.52
yNgYXOt,13,True,33.36
lrGkjWz,20,True,88.59
zhyFQeP,25,False,93.09
ewtHgjp,48,True,67.92
WdBmAbJ,22,True,15.54
OnyMUFg,73,True,81.58
PcaOYWz,96,False,18.42
xVtvtEz,79,True,26.59
WtYNJru,100,True,73.39
xSdLTwQ,3,False,32.85
,,True,14.56
bYjZOQw,27,,30.64
kHcEhNA,66,False,56.1
tLwhXjN,44,,86.02
HldBCqm,52,False,55.12
APJwASV,50,True,43.06
afNlBeF,42,,37.16
hWrKLWB,48,False,47.29
eKQkttr,22,,5.08
wCnFrgW,78,True,70.02
ZldprOF,,False,84.09
mzynyXN,15,False,47.4
paOOtac,3,True,36.0
UleHVKs,35,False,55.7
BKmnGva,32,False,81.95
nXsPeUx,43,True,42.57
GXduvjR,74,True,20.14
MxxKxSe,59,True,75.17
VolhGsn,87,False,24.79
KtSnrlt,88,False,24.79
ZANKUyl,87,False,23.86
TvPupqM,96,True,78.76
QZjAtJI,79,True,47.0
puPVuZo,15,False,36.58
dlZXQIy,40,True,99.39
gwsWPPO,5,True,15.52
rkazMei,15,True,40.67
ohXyQtZ,61,False,84.55
jaHmOjn,62,True,38.56
,96,False,42.87
oMrJUUk,54,True,49.89
EANEAWh,49,True,
CgWDjWp,2,False,68.09
JGfNBQU,84,True,67.49
UlUXEsj,66,,
fdzwpFs,72,False,61.32
gdpBcWD,3,True,84.08
pyZoIwr,90,False,11.7
WdZTjof,7,False,99.8
aQJCTAe,,False,
Cswftgs,19,False,56.35
pzGxbeI,61,False,20.84
aUAUwEe,85,False,39.74
lzePMgk,27,False,59.77
ufAZiZy,,False,96.17
DKsHlBB,78,False,62.85
WbNoCJX,70,False,17.27
VQddXim,62,False,24.59
BjWMviM,51,False,80.83
KtYHNJV,42,False,77.21
RhPevBH,56,True,6.23
qiiPQug,17,False,80.51
xihBSII,26,False,58.9
nECFTNC,,True,10.74
DomIDJN,46,False,14.69
gUavBsG,26,False,91.28
aHaAWSf,37,False,90.44
GBWysEU,33,False,92.58
tFkquGR,73,True,53.2
KBfyVru,21,True,24.98
wKAFoGH,81,True,53.07
CABNzAJ,45,True,30.88
wARZHDh,63,False,88.74
jfBkIIl,10,False,
cOMHTVz,3,True,22.73
XGrriMw,78,True,83.23
XdWHguD,93,True,14.04
NjUigcz,45,False,84.28
DBQnHFI,17,False,1.26
faZzZal,25,False,3.86
uNgUclz,34,True,66.85
,60,False,39.53
eYFjrZL,98,False,61.72
MxNNoPe,68,False,90.03
QvOfJwt,20,True,51.67
EyHommG,22,False,91.1
iWoQskI,31,True,75.67
OFkBYWa,34,True,67.07
HBtQGlo,51,False,91.28
HKrTGXv,21,True,94.01
TLEwQzh,93,False,30.33
tjBQJLb,40,False,33.33
tDgLSgn,55,False,88.3
,80,False,20.75
mGYBpai,21,False,2.57
,66,True,9.38
KAZvZYs,12,True,45.32
YuoEFkz,71,True,40.52
,91,True,35.11
DaCqmDz,81,True,41.76
SwShbLI,3,False,33.45
hSqKXzI,46,False,66.54
ySzTWrO,98,True,6.37
aFlEYLx,62,False,62.05
rVcbYMw,28,,76.99
bpOJMhZ,14,True,59.76
skZgaVf,46,False,42.86
GeQNjiQ,,True,43.1
XKOIvdY,79,True,79.89
jiIqAVX,86,False,31.08
QRtwxaj,39,True,40.49
SJbJDFP,98,False,33.66
wAiQYik,93,True,17.66
weskSoM,45,True,74.53
RuNqfOD,77,False,60.12
aUPXkka,1,True,18.76
TeMohok,15,False,2.92
EEewKmA,52,False,82.09
TpWAQpV,91,True,30.52
TGwEvfp,19,True,15.2
PydGRUp,44,False,5.16
FGImjmU,55,False,91.48
zMHwSNU,47,True,13.05
GvSgagp,62,False,
BFTtlEH,8,True,16.69
FXzdyIP,56,,20.87
FLZJnxP,37,False,42.0
mtrshQe,40,False,
XDNTMgW,78,,92.6
BdKwyYV,75,False,89.4
DRwIUqh,7,False,71.72
inUGHHd,3,False,
ZaTAQsj,51,True,27.51
pnwEazR,84,True,77.02
LdAGsCm,66,True,85.7
xEflVbc,27,True,97.13
MYPXEzd,31,True,86.61
ungWrfI,34,True,43.84
IBhlNDf,75,True,37.07
TfQiHoS,36,False,69.39
fwIpNUM,97,False,35.97
LUHqMLE,28,True,76.06
FnAdwVJ,44,False,2.94
zURkcMV,56,True,66.12
DJYEWDZ,21,True,75.38
tEFFfkJ,60,True,56.53
pVaeRZT,5,True,68.52
BvJpauh,66,True,68.24
dvpnifJ,32,,3.47
ryPCevL,44,True,65.59
clxcEfu,5,True,72.65
,65,True,91.19
evuMBgS,41,True,22.55
jnCFuOD,82,True,78.41
isJYzZx,30,True,54.36
aIdMYiR,17,True,61.54
dGJIKfw,70,False,
NDVeTnU,51,True,85.24
pJgzjDJ,83,False,53.82
tvxrjFR,66,True,92.52
ecfnkxR,10,False,49.69
GDDidns,54,True,24.75
tZJXBuh,72,False,
,70,True,98.71
,90,True,44.86
XxbhlGo,96,True,47.23
DIafXPm,57,,4.66
KqdfSAn,1,False,81.64
ELEefFM,74,False,6.87
yelOCzq,69,True,2.55
ACWZLVQ,27,True,11.12
nZdvhHD,89,True,44.97
YuvkwXv,15,True,18.05
XjwUCOS,24,False,17.21
yWePkiT,68,True,52.92
jPfbrhh,53,False,54.95
IAGMOFk,3,True,31.76
rJfuPcl,94,True,22.58
MWOoFmk,40,True,93.06
ImHXgCz,68,False,86.98
nOtHeuc,73,True,49.59
IPewnfL,59,False,98.54
yJGgnCP,95,False,80.21
hMWfxEa,50,False,19.05
SfsEVjF,7,False,90.77
MdonWOF,64,False,17.0
VzudErc,41,True,18.38
NKADjCB,74,True,88.13
PdAgutc,74,True,79.08
ymICBql,48,False,
hfsrkKS,69,False,
lsZzmoE,,False,77.21
hwfdsgR,86,True,81.58
cuVXWpb,26,True,75.32
fnvgVLS,74,True,59.45
knISImP,93,True,76.09
vgvCnlj,66,False,1.51
BQPmrrq,52,False,9.85
dNytvsu,91,True,64.7
PlhYWLR,76,False,4.19
xusxrfV,,False,78.82
uZCnDFj,100,False,71.39
,17,True,73.05
UEztMfc,73,True,15.07
jcHYnfg,16,True,42.51
LWlKoPH,49,,29.74
nhMFFSx,,False,25.08
vZWJSYG,90,True,88.8
bZWKout,26,False,5.04
NCQbeLQ,21,True,54.8
jhscucW,3,True,50.72
whFtzFf,66,True,77.6
cHlxXai,61,,40.03
GtnYTuX,57,False,27.06
ieXQfCo,77,False,87.71
TCtcexR,92,True,32.73
RAIazTu,,True,73.77
rXOOQGW,37,True,7.27
wRbyAda,42,False,62.97
aQNgXCQ,34,False,35.53
DFkyXPi,95,True,80.46
XAISNZa,22,False,25.03
keGJkIB,37,True,28.88
KuhYPJG,53,False,89.46
ynaNgOj,22,False,37.04
wvxGBvB,59,False,
EkWBimq,72,True,27.82
CBSXUSU,56,,74.23
aTrtBEn,12,True,31.92
VxzOBZs,39,True,21.58
QjyshFt,17,False,88.39
pACOmZR,72,False,11.72
maBdfAa,59,False,74.42
SDYmhIk,98,True,49.35
qxOwLrU,90,False,22.51
PEAHfJE,19,,76.72
DrPTjsa,11,True,
ZGCtbYN,58,False,58.03
nlXbTiu,50,False,70.3
fPYHGGi,54,False,15.33
afQYSRs,34,False,64.57
WWhNCdN,45,False,51.59
OBQJWPh,72,False,68.33
QariywF,73,True,36.47
eGoQsEr,11,True,30.05
tuXFsil,96,True,27.05
TLGnQmZ,93,False,33.93
plqntzt,44,True,79.27
PXuQWZh,67,True,10.46
SUBRckp,44,False,78.53
spIuNQr,93,False,96.13
kpTDmNB,73,False,47.69
,10,True,1.96
bXArFYB,9,False,68.24
OUZRStb,72,False,96.49
KgHcors,13,False,95.17
XythdcW,8,True,29.83
kOmQYKD,27,False,89.18
PVRAiVG,85,False,8.16
PnNpuSN,89,True,1.84
eNLPIsM,10,True,48.59
eVSuTVV,52,False,87.97
uyjMmjH,76,True,12.38
xyjrIdO,81,True,11.56
nsqSuDK,,True,88.64
ROAwFTI,81,True,37.23
CigOAtX,60,True,67.09
IhSkBqj,57,False,
uPWdBJY,57,True,53.13
bmhMgwy,,False,55.53
olzhqBt,40,False,72.83
hzvHIbn,65,,36.55
PWoAOfx,79,False,80.15
EiuTASF,87,False,
TSJTrjy,50,False,40.02
rwwnLKG,94,True,27.18
nrYxLNS,,True,52.8
fQxoZQT,5,False,20.77
fsIdKDi,7,False,76.18
lJrUaDv,40,False,35.91
OsaomYQ,11,True,78.76
eFmAqzC,25,False,72.46
tOKUrAM,97,True,69.82
estqkZT,55,False,32.42
RTbbQRX,23,False,66.72
iIDLmXc,32,False,34.92
vMtbenc,95,True,90.92
peNRawP,58,,7.06
mzcEtvK,44,False,51.78
zLGhnFm,10,True,96.0
uMoMVTu,85,False,6.75
qLEyVQQ,90,True,50.01
hZosLoG,69,False,18.8
UNJtggD,26,False,40.78
QBbuNdX,88,True,52.62
JaeJmIa,,False,76.26
YuoKxxc,24,True,17.42
tvGgKSk,48,True,
EIQZHUl,62,False,83.69
EXzQMVu,53,True,4.27
HciIxTB,23,False,92.61
CDHRPFW,91,False,23.19
yXjrZPc,23,False,53.68
gAUyETV,64,,1.79
jnFqbsx,57,False,8.94
sZKeuil,30,False,55.07
CSKjpnd,,True,31.39
fMldVcS,47,False,69.43
LjkUDQu,11,True,57.57
,46,False,2.75
HymHaNk,89,False,3.91
gIJUkcQ,30,False,36.8
yulkPEt,73,False,
wtoTWaZ,85,True,75.16
hoUYVhy,91,True,86.53
MMmkuMN,72,,6.14
gBRysSv,45,False,96.51
BxDfZlh,81,True,11.49
HXcQILr,68,True,27.58
TZfVXra,47,True,72.32
hkWGRQm,50,False,45.54
LEnFuxO,13,True,48.33
dHhaPkC,61,False,53.83
LKnlTje,34,False,70.35
yTBrHnb,59,True,7.55
YryFPjk,44,False,4.19
xoLIImu,67,True,74.85
AFKjyoG,72,True,37.75
QEIrPCe,38,True,36.54
zWCLzmT,64,True,6.51
ACklbCL,89,False,17.81
osAWtme,99,False,74.19
LtXQXHn,68,True,58.45
FJhdnqh,,True,98.17
wJhOMvn,,False,34.73
YuRIywF,,False,72.66
UaMFQUi,64,True,7.13
,30,False,34.75
EywfhKH,74,False,66.74
DWcGlVY,64,True,37.63
TPiCnzD,1,True,34.11
pSgcqQA,17,True,30.84
,,False,20.91
sgkuzfu,47,True,59.81
qnWeWUq,19,True,78.92
TDMJXHR,47,True,75.0
,63,False,11.33
SjCMDLk,64,False,42.48
aBqSoNe,46,True,24.04
NWLAWSB,64,False,15.77
NMyYrGC,,False,33.65
Wdnjthm,84,False,98.4
KVBOrIN,16,True,57.86
qaPBucZ,97,True,20.86
tCrrkxD,13,True,77.53
yzQbojy,13,False,82.86
FCfUIRK,72,False,59.99
HewTOMV,94,True,7.76
uPSwBgs,98,,79.3
PXzLRhd,,True,95.74
VklnyIO,15,True,36.1
ubhsTsz,,True,84.74
,80,True,36.87
KMnaQJv,25,False,12.23
DKWYiTm,60,False,5.48
emjgQYd,39,False,6.47
xwJERiB,26,False,10.25
TawKpxG,34,,45.22
htXCOnW,87,False,4.15
URKRVPU,84,False,27.28
ChCjhSh,40,False,23.26
bMYTrYg,99,True,25.57
SuoSNEq,18,False,46.25
MoCPTPB,5,,41.26
ESUxlJr,45,False,40.87
,18,False,12.86
GfXfOfY,49,True,28.65
xnMIgAe,69,False,9.7
OtmGwde,29,True,82.91
GbSiXeM,12,True,77.02
sXHQCPR,54,True,73.25
,10,True,75.42
lazLHJi,87,False,59.47
obsZXtn,45,False,
VSOsDPz,46,True,
jQxklpa,56,False,70.45
nDcncur,72,False,35.79
RuAHINE,34,True,37.73
qgxbQWS,78,True,87.65
BnkgUuA,48,False,54.81
Mhvcnmg,70,True,46.07
DJhMKaz,38,True,29.98
ZdCOKsI,12,True,90.56
fWjPjyn,16,True,70.29
ctmhAMg,63,False,30.7
YxmWEjp,13,False,8.5
LSARfvC,41,False,
PzSnhhx,76,False,49.88
niMaWgp,21,True,38.81
dpBBnlF,46,True,6.12
rKfqaqN,64,True,3.12
VhNUFiy,98,True,61.52
rrxAyix,93,True,17.85
JocojBw,4,True,22.43
zATNVAa,34,True,89.24
GrpmvMl,91,True,3.22
nDhNqMC,42,True,13.3
juYwSCj,82,False,74.46
YIyTTVW,25,False,78.7
GsiHNvj,10,True,2.02
DgGxmxo,76,False,38.8
MzWUtuy,24,True,
HgLCBya,,,23.04
FPYfUNf,66,False,89.35
GxQvqAK,36,False,39.23
,52,True,80.45
IhyeMjf,88,False,23.37
MvrfhKo,8,,99.18
oLJubXF,30,True,39.86
QaiDXgM,85,True,77.06
qvcHkia,60,True,8.12
KondlIn,56,True,
PbIyUkD,86,False,28.23
XHOKHXW,87,True,31.66
DfUwWAY,100,False,87.42
tXYxLFC,50,False,85.31
dNuPynK,10,True,63.67
rntICxE,83,True,68.17
bgnjbwP,,True,69.03
UFMAQtO,27,False,59.02
Apnkgsm,25,False,56.61
DwSxYOk,90,True,15.59
,42,False,29.25
,67,False,23.11
XDbKnnp,45,False,7.04
KMyVlWO,75,False,21.0
OfEHjhq,47,True,41.8
WtGEZcy,65,True,67.71
fbbKVhi,,True,72.27
RJFKHTw,73,False,38.08
jDGJULK,,False,80.7
CElzjyx,89,True,79.13
BRztPGU,50,,77.86
KIzsOah,98,False,3.09
QeudVdQ,59,False,38.34
BooQlYw,35,False,57.46
QqeaIrQ,89,True,97.98
SzAsdGB,71,True,14.39
PYMotIv,77,False,27.67
hIMCOwc,14,,3.52
OpmhahV,80,True,10.51
DgASlXM,73,False,5.86
IVcKRid,5,False,98.33
ezmNynK,20,True,6.6
duRxbeP,36,False,67.33
GSbcWHv,1,False,43.1
UQjGqch,71,True,95.26
RgZgTYR,88,True,57.04
IBUhbrt,37,True,99.2
GBlbnfG,55,False,58.19
oZxiOcr,71,False,62.12
HlteGAu,84,False,49.47
zCkLAln,73,False,16.77
RhBQxAU,15,True,89.54
QXOovZq,,True,72.99
EwhCzmx,89,True,24.82
DieFegx,,False,41.6
TZTNGni,50,True,7.37
nrbASBP,64,True,64.71
KqATtOu,21,False,87.5
jwYsUnr,97,True,90.62
dbIFfCJ,30,True,10.62
CMHBjea,51,False,11.64
mtGSZva,48,True,12.98
CHfTaHk,32,False,76.95
tbmILoI,52,,89.27
LAvaXaB,62,True,32.23
beHnVef,22,True,36.03
eRWiPzO,45,False,2.61
zUZyefS,54,True,25.21
ehGKIaq,83,False,11.61
ToGDSqd,,False,22.43
kBXRBAz,45,False,50.94
xCAIBCj,8,True,57.82
IyuJYil,70,,39.48
VKyyYdU,77,False,83.45
AJviQCs,48,False,83.99
FjPpbbq,45,False,79.11
kchPOzb,93,False,10.06
FBzLoaD,5,True,34.26
ecuGteY,33,True,34.95
IVRQRDr,,False,91.65
zyEpMWe,81,False,77.53
WCAIToj,40,False,8.63
TzFnIZg,,True,48.3
dzUvFce,89,True,11.3
IYqRqzm,65,False,32.89
iqUyvlI,49,False,40.57
QWFtvff,41,True,
KneVLpW,65,False,51.88
vlDbTtQ,28,True,29.01
gVvoDdF,81,True,97.39
BnEvqMx,79,True,49.21
MTGvLGq,67,True,98.02
NywBBdZ,50,False,7.84
wZrgjSu,49,True,
NLtmVDY,93,False,71.11
wwQlomC,56,,4.75
fGQixhz,26,True,1.86
QTnzEom,52,True,16.23
VWTSJQi,99,False,33.16
jmfnLat,9,True,26.81
bcwiWgM,66,True,88.74
PpopMHm,16,False,28.05
UqxcfwF,50,True,31.33
QPlIWIP,85,True,79.25
Qcnjdiu,44,False,
RgMjtVs,33,False,48.07
,18,True,3.24
cAfmErL,41,False,90.99
bpIGFqG,88,False,35.7
AUKVBvl,,True,26.33
woRhTDy,91,False,40.72
PvqRNvg,59,True,37.23
QJoeeXh,56,False,59.58
JspBUjz,48,True,92.99
slmBgGw,39,False,67.39
OjNSdna,27,True,43.23
UbdoZzz,64,True,3.63
RblJxnR,13,True,37.1
fBQiBHu,95,False,38.08
ASMoEDN,63,False,45.27
IsnnjLP,29,False,74.8
AgxCVEr,49,False,96.48
QQxdTDZ,,False,53.4
dAjqdkM,46,False,43.79
ambucyO,67,False,
IdakWNS,63,False,
WGTdKaM,44,True,50.21
TvPdCvE,,False,27.93
EjKnUWY,77,False,80.19
ZxzLlft,89,False,57.2
ufkwHyX,59,False,30.35
TYvjUrc,90,False,1.72
RFhdPwD,77,False,86.64
dOxzYwY,3,False,42.16
TltUEjX,11,False,33.78
rDxEcvg,1,True,25.74
JrBpCMa,65,False,80.15
obxBIBF,38,False,76.03
KjvFeyY,23,True,30.74
KtQmQuj,82,True,98.56
hZJHKJb,29,True,10.19
dMTzwVE,4,False,57.51
AiJqWfZ,38,,51.79
ODWesSK,21,True,45.82
,43,False,59.88
,18,False,10.79
XUqfkti,19,,34.29
EiBpjNt,25,True,17.13
XDtmixE,88,False,26.42
cprlpkj,9,False,65.47
SBogldY,18,False,38.07
RfDWbLg,8,True,
KWXNDUd,29,True,77.61
dTVawHn,51,True,5.01
TIoXFUp,87,True,
eUjtLYB,12,False,26.79
KbJcmcQ,52,True,98.55
SQovGNK,15,True,59.63
EuUNpvb,42,True,16.32
teoKBSu,4,,78.91
TkOzvxe,36,False,30.67
EEVRmPH,94,True,41.26
keEZvPm,94,False,94.24
lMWiKRL,26,True,13.48
vHPfrTK,8,False,79.87
BvDyXNo,,,8.31
UQJZmet,7,False,35.75
nWDcuqX,90,True,25.7
FFZVjpF,76,False,18.63
nLuJwoK,97,False,98.02
lbjjOqd,53,False,53.13
aJVbpcS,90,False,79.58
nAOrxFV,3,True,73.76
TgvfaDN,7,True,56.13
dKMyBNx,40,False,8.22
sHrdyJv,71,True,74.04
,73,False,80.83
EjKUBSE,45,False,67.87
XgvSSOQ,1,True,59.81
idWvCoU,50,True,79.01
OihysVP,10,False,49.39
AcNomaf,94,False,60.83
buHZbRQ,39,False,50.88
mDDpQrB,26,True,88.17
DrPpeQr,72,,64.25
SlOvWQa,48,True,11.23
TQxKYaO,55,False,
qYWPmLN,85,True,10.19
iYaAzKF,63,False,6.25
xAuLGZS,63,False,86.62
KmzDPTX,50,True,67.3
XSkSgXK,41,True,3.46
TzgLGXb,84,False,62.26
BvlmduI,12,False,38.17
jFzGwpj,67,True,81.28
elitSnC,45,False,37.18
ghExutQ,49,False,40.55
,50,False,22.32
oYmSbGj,30,False,53.94
nBqZRjR,19,False,68.08
VzKYmEZ,35,True,93.46
NqsiTvf,19,True,57.71
fEDGnOe,,False,62.67
zSDiRmJ,17,True,30.48
XQhagMG,35,False,
leCVHBv,15,True,87.12
TtABBPX,16,True,34.42
EitBbas,53,True,79.44
,43,False,42.83
VvfLRGR,6,False,40.55
hXziigt,55,False,96.13
mtrNfZL,66,False,31.78
erPDcsh,61,False,9.5
UqnYOje,,True,91.41
HcpUmAn,33,True,26.27
CBxMDKm,53,,54.19
LXTOYxK,61,True,90.93
rQUjJkL,32,True,75.88
LFhgveR,89,True,86.1
psQVwIj,44,,62.9
mLMZraX,93,True,28.23
xPAeKZX,53,False,
vDgTkxM,56,False,22.21
YivHFry,51,True,15.36
,14,True,34.16
vBYXkNK,17,False,3.24
bMOZHYu,84,True,14.27
,72,True,36.72
rOjrSUG,49,True,90.66
VxHXZhB,83,True,41.59
BaKQKhs,60,True,30.04
eKQOujJ,87,True,23.97
XuvfzJu,86,False,95.65
EGacYuH,37,True,97.39
peZPgVL,28,False,46.76
XXPXgwy,46,False,64.77
ngiQEXH,16,,73.03
wjWDKcP,80,True,83.5
HGmqYiL,59,False,25.84
fDRmbqk,19,True,91.02
tETKZuD,10,True,33.21
Nwwhhwd,91,False,83.04
FjHbANm,44,True,89.38
sEuUISH,26,False,21.13
AmJlRbf,13,False,46.38
tHvbDPY,86,True,8.92
nziTJmj,21,False,96.5
ZUgCAMT,86,False,58.18
AZkxshB,86,False,3.69
CFOmEGj,66,,88.12
XOQptMZ,,False,52.28
idGZjDk,41,False,4.47
WtAGfNv,94,True,
uRqaEUJ,24,False,49.15
HocYlGY,,True,21.12
CMWvgjP,88,False,12.99
lHmhXEm,88,True,66.82
CuRTpmR,27,False,9.6
hcBMllN,50,True,
LfekvlT,100,False,43.06
FzMsRob,62,False,65.59
HIDjYEh,87,True,40.59
UzhPsfg,17,False,43.41
CEogOzZ,47,True,56.36
iTFJWEE,3,True,24.44
TdIBmIj,53,False,28.8
pjOFqay,21,False,99.73
,68,False,20.09
,36,False,35.46
anopsYP,31,False,
REEvmhK,74,True,14.51
WjTNjtF,86,True,21.51
ThAAARZ,64,True,22.22
UYcgQXc,19,False,72.52
DvvQgWU,40,True,76.94
vJyCjnG,94,False,35.94
JrraBtY,68,True,81.23
yujPHYB,23,True,65.63
gxtNGRB,6,True,68.91
AYrjWzi,23,True,54.46
pUdLwzg,72,False,22.69
zRXhgHk,50,True,30.81
eeMPumL,41,False,48.49
UhDLAOz,,True,76.44
avvIoGs,84,True,57.9
xvgVblh,13,True,38.76
axKKFdp,36,False,
nQZArJZ,63,True,74.49
XbtJdec,39,True,54.22
AsOrhiz,6,False,97.47
DqIbInG,73,False,48.35
UjCPsaV,84,True,75.27
qRgKkSL,14,True,16.49
pOjemOG,83,,90.55
eWZyZWn,11,False,75.27
hiEShxg,14,False,84.98
rnRzDOE,59,True,19.88
irNEdBw,90,False,78.72
,53,False,47.78
lSkQCGU,24,True,37.64
ywZwjAi,5,False,5.47
cEHuohD,27,False,86.33
kGpRzjW,43,False,77.29
BgYgNiy,15,True,51.5
CbKeTiZ,84,False,93.06
qwocVYY,,False,85.32
EvqbQAX,79,True,77.97
AcLNjeU,37,False,60.31
mqiCKkF,49,False,73.3
nzEYTVs,55,False,72.29
BCfiijy,41,False,9.92
sxclVIm,37,True,83.81
,,,
KvEDkBz,89,False,59.39
zYBDlbW,10,False,26.28
TZJDbrv,12,False,72.81
GfGhmPe,1,False,94.11
EiEXoZz,20,True,53.59
YhQJDVP,41,True,16.0
YHcMFff,16,False,13.4
MxJRwIi,96,False,93.6
qleWYUw,43,False,13.6
avFZLNl,46,False,72.28
McJAvAT,,True,20.15
OfVGMCX,16,True,82.31
vpXVJre,66,False,37.8
xhvpqYW,68,False,45.18
bmaZEmc,29,True,63.47
wzoOaqw,63,False,4.07
CqpGhBh,26,True,38.93
RzOYtFJ,97,True,20.88
wcNDsJa,75,True,82.96
rohhwNw,88,True,41.84
JryXvEk,15,False,44.97
qRfWvgC,42,True,15.94
HZbxgor,47,True,56.39
RSzKtXM,27,False,96.79
iDgQags,12,False,72.25
fjbIhAl,89,,56.75
PeLiCAy,74,False,21.88
wRHJcGi,59,True,34.63
geBrdew,61,False,94.84
uSYHfhJ,58,False,48.27
IVIYsEH,95,False,96.82
hQbDFYs,79,True,49.84
